LOCUS	CHR	START	END
2	12	1344960	3344960
3	7	1025096	3025096
4	1	97512127	99512127
5	10	103928914	105928914
6	8	142320118	144320118
7	2	199715388	201715388
8	20	36453194	38453194
9	4	102188709	104188709
10	2	232562197	234562197
11	12	122665113	124665113
12	11	123612932	125612932
13	1	72768366	74768366
14	22	41603814	43603814
15	12	109723245	111723245
16	14	103314182	105314182
17	7	85427626	87427626
18	5	59620980	61620980
19	18	51749216	53749216
20	11	132852684	134852684
21	11	45373311	47373311
22	2	197304577	199304577
23	10	17745105	19745105
24	16	28966277	30966277
25	22	40587556	42587556
26	6	83407466	85407466
28	22	38967430	40967430
29	2	57383820	59383820
30	3	1521322	3521322
31	11	112392994	114392994
32	15	90416550	92416550
33	3	52175017	54175017
34	15	77894759	79894759
35	3	179623255	181623255
36	3	135288405	137288405
37	8	110472014	112472014
38	2	198990107	200990107
39	1	29437268	31437268
40	19	18484295	20484295
41	1	1387101	3387101
42	8	26425349	28425349
43	5	151177121	153177121
44	4	175855221	177855221
45	2	145436222	147436222
46	1	43097530	45097530
47	5	87746331	89746331
48	11	129811356	131811356
49	12	56682956	58682956
50	8	59696526	61696526
51	19	49152142	51152142
52	7	109976264	111976264
53	5	44285752	46285752
54	7	103927586	105927586
55	7	136074844	138074844
56	9	83736303	85736303
57	3	35858583	37858583
58	3	62867355	64867355
59	14	71417326	73417326
60	1	242663893	244663893
62	19	29987423	31987423
63	16	57545426	59545426
64	11	131568255	133568255
65	6	72155701	74155701
66	14	29000405	31000405
67	16	12749265	14749265
68	17	1156453	3156453
69	1	238210058	240210058
70	14	28469373	30469373
71	8	37209129	39209129
72	1	189949551	191949551
73	2	144141541	146141541
74	1	149031490	151031490
75	5	136855305	138855305
76	19	10849736	12849736
77	15	82254708	84254708
78	15	84207825	86207825
79	2	72623439	74623439
80	9	100071090	102071090
81	11	23406419	25406419
82	11	56484660	58484660
83	18	76575613	78575613
84	3	16887635	18887635
85	7	109048893	111048893
86	15	60854003	62854003
87	1	7424984	9424984
88	8	25269191	27269191
89	2	224391296	226391296
90	16	62712719	64712719
91	2	184640728	186640728
92	12	38522907	40522907
93	3	59287845	61287845
94	7	130567263	132567263
95	16	8900057	10900057
96	8	88264751	90264751
97	20	19821005	21821005
98	12	102361112	104361112
99	6	142650817	144650817
100	2	21749726	23749726
101	8	3180611	5180611
102	14	32298731	34298731
103	6	82789798	84789798
104	3	70543758	72543758
105	8	17421474	19421474
106	11	29378559	31378559
107	13	78859456	80859456
108	1	176309490	178309490
109	15	69589272	71589272
110	3	160470592	162470592
111	6	92077500	94077500
112	8	33312412	35312412
113	3	52515136	54515136
114	4	22423603	24423603
115	12	22633432	24633432
116	16	6744180	8744180
117	17	18014831	20014831
118	7	23777089	25777089
119	14	98712032	100712032
120	5	48840113	50840113
121	6	113719447	115719447
122	3	9804551	11804551
123	11	64383755	66383755
124	12	91246786	93246786
125	15	46686081	48686081
126	15	39566759	41566759
127	1	173015259	175015259
128	17	16711270	18711270
129	3	15846967	17846967
130	4	169626552	171626552
131	1	94840866	96840866
132	6	127329493	129329493
133	2	72161551	74161551
134	11	133296384	135296384
135	1	199266503	201266503
136	1	65324512	67324512
137	8	9032894	11032894
138	16	67285847	69285847
139	1	96878068	98878068
140	4	142829759	144829759
141	16	70359066	72359066
142	5	87000630	89000630
143	14	58981768	60981768
144	17	77561603	79561603
145	16	23240725	25240725
