LOCUS	CHR	START	END
1	1	71765116	73765116
2	13	52647048	54647048
3	5	163523472	165523472
4	5	102972357	104972357
5	18	52099012	54099012
6	10	105610839	107610839
7	11	87744425	89744425
8	1	72668836	74668836
9	5	86545318	88545318
10	7	11253880	13253880
11	14	103017953	105017953
12	3	156977962	158977962
13	1	196704717	198704717
14	14	41074726	43074726
15	1	174913828	176913828
16	14	74130235	76130235
17	18	34138245	36138245
18	1	7489302	9489302
19	11	112370758	114370758
20	16	12755530	14755530
21	9	35999369	37999369
22	1	36192741	38192741
23	16	12066833	14066833
24	2	57012833	59012833
25	18	51751639	53751639
26	22	40487218	42487218
27	9	10513019	12513019
28	18	49731802	51731802
29	7	108099919	110099919
30	7	116502574	118502574
31	1	51342427	53342427
32	9	118731045	120731045
33	15	36643831	38643831
34	16	6666402	8666402
35	1	176428018	178428018
36	6	65565703	67565703
37	5	92071630	94071630
38	9	22737627	24737627
39	9	125634255	127634255
40	6	141996618	143996618
41	6	104365891	106365891
42	18	76580712	78580712
43	12	83465022	85465022
44	11	60471678	62471678
45	9	16016503	18016503
46	13	98115041	100115041
47	16	5315880	7315880
48	2	21503044	23503044
49	6	100387304	102387304
50	1	49559162	51559162
51	14	63697037	65697037
52	2	207044470	209044470
53	3	43736493	45736493
54	12	120205078	122205078
55	3	60192911	62192911
56	13	65941792	67941792
57	8	70347626	72347626
58	11	29892824	31892824
59	16	20639710	22639710
60	4	130237381	132237381
61	13	30907741	32907741
62	18	51488672	53488672
63	7	1110346	3110346
64	9	30124452	32124452
65	20	38997404	40997404
66	8	64562019	66562019
67	2	156111313	158111313
68	7	81454404	83454404
69	13	79826373	81826373
70	15	46684936	48684936
71	3	48214066	50214066
72	9	1983774	3983774
73	11	69544937	71544937
74	20	43680853	45680853
75	7	81936909	83936909
76	11	56650796	58650796
77	9	24232978	26232978
78	4	176350956	178350956
79	6	164121844	166121844
80	5	60509655	62509655
81	11	64314830	66314830
82	11	126022560	128022560
83	4	122186393	124186393
84	1	79809636	81809636
85	6	146950422	148950422
86	14	59141822	61141822
87	9	119484009	121484009
88	4	2207142	4207142
89	2	85819128	87819128
90	3	116509984	118509984
91	1	180740924	182740924
92	17	26363750	28363750
93	12	22987925	24987925
94	12	109741356	111741356
95	11	117713180	119713180
96	3	52244151	54244151
97	1	36709328	38709328
98	4	41110353	43110353
99	1	66146817	68146817
100	10	795194	2795194
101	19	29939989	31939989
