LOCUS	CHR	START	END
1	3	35856030	37856030
2	6	97565211	99565211
3	12	1348844	3348844
4	11	60618608	62618608
5	7	10871787	12871787
6	3	51626443	53626443
7	10	61322034	63322034
8	10	110648659	112648659
9	8	8763581	10763581
10	5	168289206	170289206
11	20	42682551	44682551
12	2	96416153	98416153
13	15	84149575	86149575
14	11	69517927	71517927
15	16	8230816	10230816
16	17	41191893	43191893
17	7	20492589	22492589
18	20	42944323	44944323
19	1	60105668	62105668
20	8	143993377	145993377
21	4	122076007	124076007
22	7	1020995	3020995
23	5	6542911	8542911
24	11	64848738	66848738
25	15	41904904	43904904
26	7	23647222	25647222
27	11	63009879	65009879
28	7	104043229	106043229
29	15	90426560	92426560
30	13	112869045	114869045
31	6	165995260	167995260
32	20	47033127	49033127
33	11	65324583	67324583
34	8	33152492	35152492
35	16	88632725	90632725
36	1	162745389	164745389
37	20	59865815	61865815
38	5	79961069	81961069
39	15	82531774	84531774
40	7	139676153	141676153
41	17	37220432	39220432
42	5	77849505	79849505
43	16	8926348	10926348
44	14	98719219	100719219
45	6	151793572	153793572
46	22	40153879	42153879
47	2	168481837	170481837
48	8	9226355	11226355
49	3	69488788	71488788
50	9	36090538	38090538
51	2	165152389	167152389
52	9	140066490	142066490
53	17	37129841	39129841
54	17	835482	2835482
55	11	78092527	80092527
56	7	130870597	132870597
57	5	136712121	138712121
58	15	37973793	39973793
59	10	17751103	19751103
60	2	192738336	194738336
61	3	106757060	108757060
62	10	63525135	65525135
63	2	193437889	195437889
